,0
0,"This was the first time we had ever booked our own transfers so we were quite nervous about the whole process but I have to say it all ran perfectly. The drivers were both very professional. We accidently left some duty free shopping in the car on the way to the hotel, we rang the emergrncy number on the email and my bag of shopping was dropped off at the hotel the next day which we were very impressed with. On the way back to to airport our driver was 10 mins early which was great as so we're we. I would definately reccommend Airports Taxi Transfers to a friend and would use them again in the future. 

Thank you very much to both of our drivers, you were great."
1,Perfect!! Door to door service !!
2,On time both for collection and delivery. Although our plane were an hour late they were still there ready for us. Good job guys. Only slight negative...on the return trip the driver had no change...it was cash only....but we got it sorted between us. Thanks again
3,Prompt service
4,Driver arrived exactly on time and we arrived at CDG in a record 35 minutes. Would highly recommend this service!!
5,Absolutely love it. Convenient and cheap.
6,"Fast, friendly and reliable service"
7,"Really good company, lovely drivers, helpful, courteous and trustworthy. An absolute pleasure to deal with"
8,First class service
9,"Mercedes car
Wonderful driver
Helpful
Polite 
Flawless transfer"
10,Good bus and very good driver
11,"Excellent. Flight was early and driver was there to meet us. Spotless car, very comfortable. Very prompt for return journey. Will definitely use this service again."
12,I will definitely use your service in the future and highly recommend your service to my friends and organisation if they are to be in the UK.
13,Fantastic service! Drivers were friendly and helpful. Highly recommend and much easier than public transport.
14,Punctual and safe driver.
15,Easy to book and excellent service
16,"Great service, will use again"
17,Very reasonably priced and attentive service. Highly recommend
18,"I have used the service of Airports Taxi Transfers to get a transfer from Lausanne Palace to Geneva Airport on 13 July 2019. I have selected a 12 persons coach on their web site. 

We were a group of 7 persons with 9 big suitcases (80/84cm) as well as 7 cabin luggage. I have mentioned these details in my online request and this information was sent to the subcontractor. 
One day before the transfer, I was told by Airports Taxi Transfers that there will be 2 minivans instead of one 12 persons coach and that the subcontractor advised that the pick-up should be one hour before what I had planned because of expected traffic jams (Pick up 6:30am instead of 7:30 for a plane leaving in Geneva on Saturday 13 July at 10:40)
I have agreed for both proposed changes although I thought it was quite early. But since it was my first time in Lausane I did not know what the traffic would be like on a Saturday morning on the way to Geneva Airport. 

Then the next morning only one regular minivan showed up. There was not enough space for our luggage, and I had to ask the hotel to arrange another vehicle for us. On the way to the airport, the driver of the minivan naively told me that the earlier pick up was required to accommodate another fare he had after mine… 
I have paid for 396 EUR for a transfer in a minivan which cost usually half that price. 

Airports Taxi Transfers asked WhiteLine Transfers to refund me 198 EUR but the subcontractor declined, saying that they have done their job. 

Airports Taxi Transfers then wrote to me that they have stopped working with this company which has not even paid them their commission. I have contacted WhiteLine Transfers directly and they refuse to take any responsibility in providing a vehicle that did not match my needs and the price I have paid. 

Conclusion: Next time I will have to book an airport transfer I will do it through the hotel where I am staying. It might be a little expensive but at least hotels know the reliable local transports companies. (Cost of the lesson: 198 EUR)"
19,"Pick up was prompt, nice friendly driver spoke a little English but that was no problem, Nice clean car with lovely air conditioning, great service to the airport of Naples @€88 it was well worth the money"
20,"Great service, was waiting in the arrival area and trip went extremely well. Thank you 😊"
21,"We're very accommodating
Excellent service would recommend them to any one"
22,"Beautiful car, great driver and easy booking process. Highly recommended!"
23,"Had to wait around 20 mins for our driver on arrival in Tenerife airport.
Apart from that all good.
Would use again no problem."
24,Drivers were lovely and friendly.... Easy to use service and would definitely recommend. Only thing that I think should be mde clearer on website is when you pay driver you only pay 50% of total bill each way as our 1st driver took more and it caused confusion for the 2nd driver. Thanks
25,Excellent service! On time and efficient
26,Great service.on time and very clean cars
27,"Plane landed at Paris at 14:20, waited 50mins and no driver at prescribed meeting place. Made other arrangements. At 15:25 received a text stating my driver Maxime had arrived and where was I???? Not happy, wasted an hour - so did my friends waiting for me at the other end. Would not use again."
28,Very good service only fault was we had to wait 10 mins for the transfers when we arrived and on return journey we got dropped off at terminal 2 instead of terminal 1
29,"I used your service a few times. All the time when I arriving, I expect to see the driver, instead I have to look for the driver and make international phone call and only than he arrive to the meeting point or another point which he sends me because he can't get to the meeting point...."
30,Excellent service - highly recommended
31,Excellent and very helpful driver.Very impressive
32,"arrived on time, contacted the hotel room via reception to let us know he had arrived, driver was friendly & introduced himself. Vehicle was in good condition."
33,First time I have used them. Very good and professional in both directions. Helpful when I called to confirm pick up from resort (I didn't need to). Would definitely use again.
34,I was really impressed with both the ease of booking this taxi service and the quality of the drivers and the cars. I would definitely recommend the company and would use it again
35,"I chose their service simply because it was the first in my google search (I know, they paid for it). Turned out it was perfect - they provided me with the details of the driver one day in advance for my trip from CDG to Paris City centre, and Youssef was very responsive when I WhatsApped him. He was very friendly and took us to the hotel very efficiently. 

Based on my good experience with them, I booked the transfer to the airport with them again. However, this time was a bit disappointing cause they initially said the details of the driver would only be available a few hours prior to the pick up time (7:45 am) and that if anything happened I were to call their emergency hotline. Given the current strikes in Paris, I was nervous and it was after a few emails that I got the details finally. Thankfully the driver was there on time so all good. 

Definitely recommended"
36,"Was there waiting, and had a beautiful Mercedes van for our group and the driver was awesome. A great experience!"
37,Good service for a reasonable price.
38,"Alles super geklappt. Sehr pünklich, sauberes Auto netter Fahrer. Gerne wieder."
